City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Seymchan,RU,62.8833,152.4333,28.51,69,100,14.81,overcast clouds
81,Goderich,CA,43.7501,-81.7165,71.2,94,98,3.44,overcast clouds
82,Richards Bay,ZA,-28.783,32.0377,58.21,84,100,5.23,light rain
83,Garowe,SO,8.4054,48.4845,75.65,75,84,16.28,broken clouds
84,Tura,IN,25.5198,90.2201,70.75,98,80,3.98,light rain
85,Bilibino,RU,68.0546,166.4372,16.97,95,91,2.66,overcast clouds
86,Trapani,IT,37.8333,12.6667,72.34,88,0,11.5,clear sky
87,Half Moon Bay,US,37.4636,-122.4286,97.25,26,1,9.22,clear sky
88,Cayenne,GF,4.9333,-52.3333,84.24,75,0,5.01,clear sky
89,Hanmer Springs,NZ,-42.5167,172.8167,45.59,99,100,2.3,light rain
90,Vilhena,BR,-12.7406,-60.1458,80.82,57,20,10.36,few clouds
91,Shingu,JP,33.7333,135.9833,73.96,84,64,4.27,broken clouds
92,Kruisfontein,ZA,-34.0033,24.7314,50.88,79,34,5.88,scattered clouds
93,Zhigansk,RU,66.7697,123.3711,25.41,86,98,6.17,overcast clouds
94,Hammerfest,NO,70.6634,23.6821,52.25,66,75,20.71,light rain
95,West Wendover,US,40.7391,-114.0733,72.61,16,1,5.75,clear sky
96,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,48,14.12,light rain
97,Lompoc,US,34.6391,-120.4579,94.01,39,39,4.0,scattered clouds
98,Kapaa,US,22.0752,-159.319,80.58,76,90,5.01,light rain
99,Jiwani,PK,25.05,61.7417,81.45,83,69,5.39,broken clouds
100,Upernavik,GL,72.7868,-56.1549,30.56,88,99,4.68,overcast clouds
101,Tasiilaq,GL,65.6145,-37.6368,35.76,54,0,5.7,clear sky
102,Irbeyskoye,RU,55.6428,95.4522,30.07,77,83,3.31,broken clouds
103,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,4.61,broken clouds
104,Muscat,OM,23.6139,58.5922,78.82,73,100,7.65,overcast clouds
105,Port Elizabeth,ZA,-33.918,25.5701,53.1,76,4,6.58,clear sky
106,Rio Grande,BR,-32.035,-52.0986,60.91,75,100,16.89,overcast clouds
107,Puerto De La Cruz,ES,28.414,-16.5487,73.47,84,4,1.99,clear sky
108,Xingcheng,CN,40.6167,120.7167,57.38,60,100,20.71,overcast clouds
109,San Ramon,US,37.7799,-121.978,95.76,22,1,1.99,clear sky
110,Safaga,EG,26.7292,33.9365,78.75,52,0,13.78,clear sky
111,Chuy,UY,-33.6971,-53.4616,52.88,66,81,11.45,broken clouds
112,Namibe,AO,-15.1961,12.1522,60.93,87,41,6.29,scattered clouds
113,Oyama,JP,36.3,139.8,72.59,75,47,2.46,scattered clouds
114,Portland,US,45.5234,-122.6762,73.71,65,20,1.01,few clouds
115,Itupiranga,BR,-5.1347,-49.3267,86.32,74,92,1.14,overcast clouds
116,Ribeira Grande,PT,38.5167,-28.7,71.83,89,24,6.46,few clouds
117,Sovetskaya Gavan,RU,48.9723,140.2878,43.79,85,84,9.01,broken clouds
118,Lasa,IT,46.6166,10.7002,58.08,97,96,5.53,overcast clouds
119,Dauphin,CA,51.1494,-100.0502,73.54,25,1,9.22,clear sky
120,Rurrenabaque,BO,-14.4413,-67.5278,95.38,35,82,6.08,broken clouds
121,Butaritari,KI,3.0707,172.7902,82.42,68,89,18.77,overcast clouds
122,Aksha,RU,50.2814,113.2867,33.04,85,90,4.27,overcast clouds
123,Hilo,US,19.7297,-155.09,82.13,73,90,6.91,overcast clouds
124,Airai,TL,-8.9266,125.4092,61.43,57,11,1.3,few clouds
125,Ossora,RU,59.2353,163.0719,40.28,96,100,36.46,moderate rain
126,Talnakh,RU,69.4865,88.3972,17.33,97,97,0.58,overcast clouds
127,Miri,MY,4.4148,114.0089,73.54,100,40,3.44,scattered clouds
128,East London,ZA,-33.0153,27.9116,57.22,71,44,5.23,light rain
129,Kalugumalai,IN,9.15,77.7167,79.86,80,100,5.44,overcast clouds
130,Laguna,US,38.421,-121.4238,93.42,21,1,1.01,clear sky
131,Saint-Francois,FR,46.4154,3.9054,53.67,100,90,5.75,overcast clouds
132,Souillac,MU,-20.5167,57.5167,72.36,83,40,11.5,scattered clouds
133,Severo-Yeniseyskiy,RU,60.3725,93.0408,30.31,98,100,2.01,light snow
134,Severo-Kurilsk,RU,50.6789,156.125,47.73,77,78,32.19,broken clouds
135,Paddhari,IN,22.4333,70.6,79.09,89,7,6.6,clear sky
136,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,89.4,62,40,3.44,scattered clouds
137,Morehead,US,37.2711,-87.1764,80.35,61,40,5.99,scattered clouds
138,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,14.97,light intensity drizzle
139,Arraial Do Cabo,BR,-22.9661,-42.0278,72.7,91,52,12.53,moderate rain
140,Taguatinga,BR,-12.3857,-46.5711,91.76,26,81,3.6,broken clouds
141,Ugoofaaru,MV,5.6667,73.0,81.63,79,39,16.71,scattered clouds
142,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,75,18.41,broken clouds
143,Vaitape,PF,-16.5167,-151.75,78.78,72,34,9.64,scattered clouds
144,Bandarbeyla,SO,9.4942,50.8122,78.78,81,75,22.01,broken clouds
145,Luis Correia,BR,-2.8792,-41.6669,80.37,81,49,18.21,scattered clouds
146,Taoudenni,ML,22.6783,-3.9836,95.77,9,69,10.25,broken clouds
147,Port Moresby,PG,-9.4431,147.1797,80.02,83,40,3.44,scattered clouds
148,Hajnowka,PL,52.7433,23.5812,49.01,73,79,11.32,broken clouds
149,Georgetown,MY,5.4112,100.3354,79.9,90,20,0.0,few clouds
150,Granadilla De Abona,ES,28.1188,-16.576,66.9,75,20,14.97,few clouds
151,Koyelga,RU,54.6522,60.9049,28.81,85,75,6.35,broken clouds
152,Boden,SE,65.8252,21.6886,51.8,85,100,17.22,light rain
153,Tsabong,BW,-26.0217,22.401,54.82,23,0,9.19,clear sky
154,Buin,CL,-33.7333,-70.75,71.92,38,0,4.81,clear sky
