City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Jacareacanga,BR,83.71,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
237,Bilma,NE,86.7,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
238,Isangel,VU,79.75,clear sky,-19.55,169.2667,Tanna Lodge
239,Mocuba,MZ,80.83,broken clouds,-16.8392,36.9856,Phama Lodge
240,Mirzapur,IN,78.94,scattered clouds,25.15,82.5833,Capital O 5843 Hotel Yash Inn
242,Champerico,GT,87.04,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
244,Bonfim,BR,82.56,overcast clouds,3.0833,-59.95,
245,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
247,Naze,JP,77.92,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
248,Ca Mau,VN,76.12,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
251,Marsh Harbour,BS,80.28,clear sky,26.5412,-77.0636,Abaco Beach Resort
252,Paciran,ID,77.97,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
258,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
259,Gravelbourg,CA,79.07,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
273,Sedalia,US,75.63,clear sky,38.7045,-93.2283,Best Western State Fair Inn
274,Gizo,SB,83.25,few clouds,-8.103,156.8419,Imagination Island
275,Omboue,GA,76.55,overcast clouds,-1.5746,9.2618,Hotel Olako
281,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Poutur Pousada
283,Sawakin,SD,84.15,overcast clouds,19.1059,37.3321,فندق الدويم
285,Banda Aceh,ID,78.4,scattered clouds,5.5577,95.3222,Sulthan Hotel International
287,Matamoros,MX,78.91,overcast clouds,25.5333,-103.25,Quinta Belem
290,Kieta,PG,83.39,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
291,Jurado,CO,81.59,scattered clouds,7.1053,-77.7641,
294,Samarai,PG,80.91,broken clouds,-10.6167,150.6667,Nuli Sapi
296,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
301,Sillod,IN,75.11,overcast clouds,20.3,75.65,पवन
303,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
307,Newberry,US,81.19,broken clouds,34.2746,-81.6187,Hampton Inn Newberry-Opera House
310,Miandrivazo,MG,77.13,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
321,Quelimane,MZ,77.2,clear sky,-17.8786,36.8883,Hotel Flamingo
